param_or_gene	ESS
active_variance_component1	196.15
active_variance_component2	196.15
TRINITY_DN112231_c0_g1_i1	94.5
TRINITY_DN115079_c0_g1_i5	57.93
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119322_c0_g3_i2	0
TRINITY_DN119807_c6_g1_i11	90.18
TRINITY_DN120684_c2_g2_i11	54.71
TRINITY_DN120816_c2_g1_i1	0
TRINITY_DN121635_c5_g2_i2	75.5
TRINITY_DN121781_c0_g1_i20	0
TRINITY_DN122474_c3_g1_i8	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122996_c1_g1_i5	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN125033_c0_g1_i10	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125595_c3_g1_i2	0
TRINITY_DN125602_c0_g1_i8	0
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127469_c0_g7_i1	0
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN128621_c1_g2_i6	0
TRINITY_DN129788_c6_g1_i3	11.3
TRINITY_DN129788_c7_g1_i4	35.21
TRINITY_DN129788_c7_g1_i7	74.96
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN129851_c4_g1_i2	0
TRINITY_DN140095_c0_g1_i1	93.74
TRINITY_DN23205_c0_g1_i1	87.33
TRINITY_DN102854_c0_g1_i1	71.57
TRINITY_DN110790_c2_g1_i1	86.96
TRINITY_DN113565_c0_g1_i2	96.14
TRINITY_DN115079_c0_g1_i5	70.29
TRINITY_DN117452_c1_g1_i6	90.87
TRINITY_DN117588_c2_g3_i10	0
TRINITY_DN118193_c9_g1_i3	0
TRINITY_DN118193_c9_g1_i9	0
TRINITY_DN118388_c3_g1_i8	0
TRINITY_DN119322_c0_g3_i2	0
TRINITY_DN119554_c0_g1_i9	98.42
TRINITY_DN119807_c6_g1_i11	73.99
TRINITY_DN120684_c2_g2_i11	57.98
TRINITY_DN120816_c2_g1_i1	0
TRINITY_DN121284_c11_g1_i4	91.66
TRINITY_DN121286_c10_g1_i1	98.53
TRINITY_DN121635_c5_g2_i2	92.52
TRINITY_DN121781_c0_g1_i20	0
TRINITY_DN121984_c6_g1_i3	99.35
TRINITY_DN122474_c3_g1_i8	0
TRINITY_DN122644_c2_g1_i14	0
TRINITY_DN122666_c1_g1_i2	94.5
TRINITY_DN122996_c1_g1_i5	0
TRINITY_DN123240_c0_g1_i1	0
TRINITY_DN124170_c2_g3_i11	72.37
TRINITY_DN124333_c1_g2_i2	96.22
TRINITY_DN125033_c0_g1_i10	0
TRINITY_DN125033_c0_g1_i9	0
TRINITY_DN125595_c3_g1_i2	0
TRINITY_DN125602_c0_g1_i8	0
TRINITY_DN126807_c8_g4_i2	90.79
TRINITY_DN127015_c1_g2_i3	0
TRINITY_DN127469_c0_g7_i1	0
TRINITY_DN127718_c0_g1_i1	91.87
TRINITY_DN127864_c7_g1_i7	0
TRINITY_DN128128_c2_g1_i3	75.64
TRINITY_DN128621_c1_g2_i6	0
TRINITY_DN129788_c6_g1_i3	31.8
TRINITY_DN129788_c7_g1_i4	42.66
TRINITY_DN129788_c7_g1_i7	86.49
TRINITY_DN129851_c4_g1_i1	0
TRINITY_DN129851_c4_g1_i2	0
TRINITY_DN144354_c0_g1_i1	81.31
TRINITY_DN182484_c0_g1_i1	96.92
TRINITY_DN88597_c0_g1_i1	95.16
